Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2024,3,31057,30977,"Charlotte, NC","Chicago, IL",599,1779,186.29,AA,0.5732,205.56,WN,0.1576,151.67,-1,,
2024,3,30194,33570,"Dallas/Fort Worth, TX","San Diego, CA",1182,1763,240.36,AA,0.5037,276.01,F9,0.1067,130.97,-1,,
2024,3,32211,33192,"Las Vegas, NV","Sacramento, CA",397,1761,142.25,WN,0.7201,156.82,NK,0.2035,90.70,-1,,
2024,3,30466,30852,"Phoenix, AZ","Washington, DC (Metropolitan Area)",1999,1752,288.47,WN,0.3791,271.81,WN,0.3791,271.81,-1,,
2024,3,30466,34057,"Phoenix, AZ","Portland, OR",1028,1733,178.97,AS,0.4028,182.37,WN,0.3162,172.37,-1,,
2024,3,31703,34614,"New York City, NY (Metropolitan Area)","Salt Lake City, UT",2022,1710,327.65,DL,0.6409,361.10,B6,0.1063,218.36,-1,,
2024,3,32211,34057,"Las Vegas, NV","Portland, OR",763,1699,152.77,AS,0.4687,180.76,NK,0.1969,90.90,-1,,
2024,3,32337,31703,"Indianapolis, IN","New York City, NY (Metropolitan Area)",701,1695,193.45,DL,0.3331,206.73,NK,0.1106,98.53,-1,,
2024,3,30194,34100,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,1693,241.28,AA,0.7211,280.63,F9,0.1220,114.76,-1,,
2024,3,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",519,1675,187.88,DL,0.3311,209.57,NK,0.1545,100.15,-1,,
2024,3,32211,30466,"Las Vegas, NV","Phoenix, AZ",255,1674,153.65,WN,0.6137,161.29,F9,0.1397,79.58,-1,,
2024,3,30325,32467,"Denver, CO","Miami, FL (Metropolitan Area)",1709,1667,236.37,UA,0.3778,297.89,F9,0.1961,122.49,-1,,
2024,3,30423,30977,"Austin, TX","Chicago, IL",977,1656,237.82,WN,0.4003,216.43,WN,0.4003,216.43,-1,,
2024,3,30423,30325,"Austin, TX","Denver, CO",775,1654,183.89,WN,0.5339,179.27,WN,0.5339,179.27,-1,,
2024,3,30721,31453,"Boston, MA (Metropolitan Area)","Houston, TX",1609,1642,250.49,UA,0.5319,303.56,NK,0.1314,97.66,-1,,
2024,3,30721,31295,"Boston, MA (Metropolitan Area)","Detroit, MI",632,1634,205.10,DL,0.5915,240.60,NK,0.1181,88.96,-1,,
2024,3,30721,30693,"Boston, MA (Metropolitan Area)","Nashville, TN",942,1632,187.49,B6,0.3120,170.83,B6,0.3120,170.83,-1,,
2024,3,30397,30559,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1632,319.57,DL,0.5251,367.47,AS,0.4047,264.83,-1,,
2024,3,33192,30559,"Sacramento, CA","Seattle, WA",605,1629,175.10,AS,0.4667,184.34,WN,0.3818,158.28,-1,,
2024,3,32467,30693,"Miami, FL (Metropolitan Area)","Nashville, TN",806,1626,163.78,WN,0.4324,178.77,NK,0.1459,95.85,-1,,
2024,3,31703,34057,"New York City, NY (Metropolitan Area)","Portland, OR",2482,1624,313.75,DL,0.3198,320.76,AS,0.3033,315.02,-1,,
2024,3,30325,34057,"Denver, CO","Portland, OR",991,1617,182.39,WN,0.3211,174.65,AS,0.2688,174.56,-1,,
2024,3,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",986,1616,237.93,DL,0.3673,285.06,NK,0.1719,121.32,-1,,
2024,3,30721,33570,"Boston, MA (Metropolitan Area)","San Diego, CA",2588,1610,333.27,B6,0.3272,366.93,DL,0.2129,316.70,-1,,
2024,3,30977,34492,"Chicago, IL","Raleigh/Durham, NC",646,1599,170.57,AA,0.3608,175.03,WN,0.2826,155.86,-1,,
2024,3,30325,34614,"Denver, CO","Salt Lake City, UT",391,1592,155.96,WN,0.3446,139.73,WN,0.3446,139.73,-1,,
2024,3,30721,32211,"Boston, MA (Metropolitan Area)","Las Vegas, NV",2381,1591,282.09,B6,0.4608,278.16,B6,0.4608,278.16,-1,,
