DATA_REF_NO,SAMPLE_REF_NO,PROJECT,WATERSHED,SITE_TYPE,SAMPLE_SITE_NO,SITE_NAME,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_DATE,TIME_NULL,collecting_group,SAMPLE_ID,MEDIUM,DEPTH_IN_METERS,PARAM_TYPE,PARAMETER,QC_TYPE,QUALIFIER,RESULT,UNIT,QC_FLAG,METHOD,FILTER
2970092,591579,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,03/08/2023 11:35:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.25,Standard units,,In-Situ Aqua Troll,Total
2970086,591579,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,03/08/2023 11:35:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.71,Deg. Celsius,,In-Situ Aqua Troll,Total
2969621,591548,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,02/16/2023 12:10:00 PM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.46,Deg. Celsius,,In-Situ Aqua Troll,Total
2969619,591548,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,02/16/2023 12:10:00 PM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,5.64,MG/L,,In-Situ Aqua Troll,Dissolved
2969623,591548,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,02/16/2023 12:10:00 PM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.19,Standard units,,In-Situ Aqua Troll,Total
2966880,591359,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/17/2023 12:00:00 PM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.72,Deg. Celsius,,In-Situ Aqua Troll,Total
2966878,591359,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/17/2023 12:00:00 PM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,4.71,MG/L,,In-Situ Aqua Troll,Dissolved
2966886,591359,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/17/2023 12:00:00 PM,N,WRE,35-Barton Spg,Ground Water,,Clarity,TURBIDITY,,,1.88,NTU,,In-Situ Aqua Troll,Total
2966882,591359,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/17/2023 12:00:00 PM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.1,Standard units,,In-Situ Aqua Troll,Total
2966823,591350,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,01/04/2023 11:30:00 AM,N,WRE,Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.13,Standard units,,In-Situ Aqua Troll,Total
